mod_id,mod_mrc_id,model,trim,body,mod_trm_id
575,20,XF,Premium,Sedan,1
576,11,Passat,2.0T,Sedan,1
577,5,Five Hundred,Limited,Sedan,1
578,7,200,LX,Sedan,1
579,5,E-Series Van,E-150,E-Series Van,1
580,27,CX-5,Grand Touring,SUV,1
581,10,Sequoia,SR5,SUV,1
582,13,X1,xDrive35i,SUV,1
583,4,Odyssey,Touring Elite,Minivan,1
584,27,Mazda5,Sport,Minivan,1
585,6,Azera,Base,Sedan,1
586,20,XJ,XJL,Sedan,1
587,6,Santa Fe,Sport,SUV,1
588,16,XTS,Luxury,Sedan,1
589,16,SRX,Premium,SUV,1
590,17,G35,x,Sedan,1
591,22,ION,2,Sedan,1
592,1,Sonic,LTZ,Sedan,1
593,19,Savana,LS 3500,Van,1
594,16,SRX,Luxury,SUV,1
595,12,Frontier,SL,Crew Cab,1
596,18,A4,2.0T quattro,Sedan,1
597,18,A4,1.8T quattro,Sedan,1
598,6,Elantra,SE,Sedan,2
599,6,Elantra GT,Base,Hatchback,1
600,6,Elantra Coupe,GS,Elantra Coupe,1
601,6,Veloster,Turbo,Hatchback,1
602,3,CLK-Class,CLK350,Coupe,1
603,3,GL-Class,GL450,SUV,1
604,11,Jetta,GL,Wagon,1
605,3,M-Class,ML350,SUV,1
606,35,911,Carrera S,Convertible,1
607,4,Pilot,EX-L,SUV,1
608,3,GL-Class,GL550 4MATIC,SUV,1
609,18,A4,2.0T Premium Plus quattro,Sedan,1
610,3,E-Class,E550 4MATIC,Sedan,1
611,2,Soul,Sport,Wagon,2
612,5,Escape Hybrid,Base,SUV,1
613,13,3 Series,330Ci,Coupe,2
614,21,Compass,Sport,SUV,1
615,12,Frontier,S,King Cab,1
616,35,911,Carrera,Coupe,1
617,29,XC60,T5 Premier,SUV,1
618,29,XC70,T6,Wagon,1
619,29,XC70,3.2,Wagon,1
620,8,xB,Base,Wagon,1
621,2,Optima,Hybrid,Sedan,1
622,14,LaCrosse,CXL,Sedan,1
623,5,E-Series Van,E-350 Super Duty,E-Series Van,1
624,11,Jetta,S,Sedan,1
625,17,Q50,Hybrid Premium,Sedan,1
626,19,Yukon XL,SLT 1500,SUV,1
627,27,Mazda3,i Touring,Hatchback,1
628,12,Quest,SV,Minivan,1
629,7,Town and Country,Limited,Minivan,1
630,9,Avenger,SE,Sedan,1
631,6,Sonata Hybrid,Base,Sedan,1
632,6,Azera,Limited,Sedan,1
633,20,XJ,XJL Portfolio,Sedan,1
634,6,Elantra Coupe,SE,Elantra Coupe,1
635,6,Elantra GT,Base,Hatchback,2
636,5,Fusion Hybrid,Base,Sedan,1
637,19,Acadia,SLE-1,SUV,1
638,6,Tucson,GL,SUV,1
639,5,F-250 Super Duty,XL,Regular Cab,1
640,5,F-250 Super Duty,XLT,SuperCab,1
641,6,Accent,SE,Hatchback,2
642,20,XF,Base,Sedan,1
643,9,Challenger,R/T,Coupe,2
644,26,Mark LT,Base,Crew Cab,1
645,21,Grand Cherokee,Laredo,SUV,1
646,9,Grand Caravan,R/T,Minivan,1
647,6,Santa Fe Sport,Sport,SUV,1
648,2,Cadenza,Premium,Sedan,1
649,15,Lancer Sportback,GT,Hatchback,1
650,16,XTS,Base,Sedan,1
651,16,SRX,V6,SUV,1
652,4,CR-V,LX,SUV,1
653,13,7 Series,745Li,Sedan,1
654,3,CLS-Class,CLS550 4MATIC,Sedan,1
655,7,Sebring,LX,Sedan,1
656,9,Durango,Limited,SUV,1
657,4,Fit,Sport,Hatchback,1
658,10,Venza,Base,Wagon,1
659,11,CC,R-Line PZEV,Sedan,1
660,27,Mazda3,i Sport,Sedan,1
661,1,Camaro,2SS,Convertible,2
662,17,Q50,Premium,Sedan,1
663,13,6 Series Gran Coupe,640i,Sedan,1
664,33,500,Pop,Hatchback,1
665,12,Juke,NISMO,Hatchback,1
666,27,CX-9,Touring,SUV,1
